Threads,Points,Time_taken
1,10,0.001774
4,10,0.000499
8,10,0.000517
16,10,0.000623
32,10,0.000836
64,10,0.001106
100,10,0.002058
1,100,0.009023
4,100,0.000208
8,100,0.000215
16,100,0.000307
32,100,0.000700
64,100,0.001471
100,100,0.002212
1,1000,0.058915
4,1000,0.000412
8,1000,0.000231
16,1000,0.000347
32,1000,0.000577
64,1000,0.001112
100,1000,0.001656
1,10000,0.549008
4,10000,0.000289
8,10000,0.000301
16,10000,0.000416
32,10000,0.000850
64,10000,0.001490
100,10000,0.002088
1,100000,5.467180
4,100000,0.000824
8,100000,0.000286
16,100000,0.000494
32,100000,0.000600
64,100000,0.001207
100,100000,0.002154
