Threads,Trials,Time_taken
1,10000,0.000486
4,10000,0.000277
8,10000,0.000317
16,10000,0.000424
32,10000,0.000655
64,10000,0.001228
100,10000,0.003139
1,100000,0.005928
4,100000,0.001744
8,100000,0.001594
16,100000,0.001369
32,100000,0.001386
64,100000,0.001600
100,100000,0.002217
1,1000000,0.036633
4,1000000,0.008794
8,1000000,0.007941
16,1000000,0.008118
32,1000000,0.007874
64,1000000,0.007787
100,1000000,0.008493
1,10000000,0.316605
4,10000000,0.087073
8,10000000,0.079148
16,10000000,0.075766
32,10000000,0.073131
64,10000000,0.072944
100,10000000,0.073697
1,100000000,3.153454
4,100000000,1.003773
8,100000000,0.856680
16,100000000,0.790110
32,100000000,0.832445
64,100000000,0.815094
100,100000000,0.809467
