Threads,Ops,Standard RWLock Time (s),Custom RWLock Time (s)
1,10,0.000095,0.000055
1,100,0.000052,0.000050
1,1000,0.000121,0.000150
1,10000,0.000853,0.001155
4,10,0.000086,0.000112
4,100,0.000091,0.000101
4,1000,0.001209,0.000453
4,10000,0.032816,0.001993
16,10,0.000276,0.000265
16,100,0.000265,0.000244
16,1000,0.000250,0.000261
16,10000,0.022925,0.009438
32,10,0.000446,0.000415
32,100,0.000413,0.000408
32,1000,0.000413,0.000424
32,10000,0.021212,0.013808
64,10,0.000866,0.000846
64,100,0.000847,0.000830
64,1000,0.000837,0.000848
64,10000,0.026323,0.016375
100,10,0.001350,0.001280
100,100,0.001309,0.001337
100,1000,0.001716,0.001476
100,10000,0.032053,0.007129
